Tool_ID,Group,Position,Condition,TCond,Init_diameter,Final_diameter,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt,Fx,Fy,Fz
21,1,f,7,0,94,93.5,4,0.25,390,0.07,0.309,1.709,1.018,3.222,71.6,1.807,51.59,42.31,18.87
21,1,f,7,0,94,93.5,5,0.25,390,0.07,0.326,1.282,0.335,1.824,71.2,1.358,51.59,42.31,18.87
21,1,f,7,0,94,93.5,6,0.25,390,0.07,0.324,1.402,0.442,2.027,68.4,1.556,51.59,42.31,18.87
21,1,g,2,0,94,93.5,1,0.25,310,0.1,0.681,2.554,0.237,1.677,98.8,2.813,69.13,50.07,20.51
21,1,g,2,0,94,93.5,2,0.25,310,0.1,0.677,2.478,0.253,1.747,98.4,2.899,69.13,50.07,20.51
21,1,g,2,0,94,93.5,3,0.25,310,0.1,0.684,2.264,0.202,1.494,101.6,2.42,69.13,50.07,20.51
21,1,g,2,0,94,93.5,4,0.25,310,0.1,0.667,2.369,0.192,1.585,100.4,2.614,69.13,50.07,20.51
21,1,g,2,0,94,93.5,5,0.25,310,0.1,0.671,2.324,0.084,1.5,100,2.418,69.13,50.07,20.51
21,1,g,2,0,94,93.5,6,0.25,310,0.1,0.67,2.373,0.223,1.576,101.3,2.54,69.13,50.07,20.51
21,1,h,1,0,94,93.5,1,0.25,310,0.07,0.227,1.431,-0.374,2.99,72.3,1.773,55.44,41.6,19.53
21,1,h,1,0,94,93.5,2,0.25,310,0.07,0.247,1.513,-0.255,2.653,69.3,1.686,55.44,41.6,19.53
21,1,h,1,0,94,93.5,3,0.25,310,0.07,0.264,1.612,-0.201,2.638,84.9,1.823,55.44,41.6,19.53
21,1,h,1,0,94,93.5,4,0.25,310,0.07,0.219,1.428,-0.282,3.063,60.7,1.702,55.44,41.6,19.53
21,1,h,1,0,94,93.5,5,0.25,310,0.07,0.211,1.405,-0.457,3.132,75.5,1.541,55.44,41.6,19.53
21,1,h,1,0,94,93.5,6,0.25,310,0.07,0.235,1.462,-0.368,2.959,64.1,1.761,55.44,41.6,19.53
21,1,i,3,0,94,93.5,1,0.25,310,0.13,0.832,3.56,0.975,2.795,128.3,3.848,84.61,56.61,24.09
21,1,i,3,0,94,93.5,2,0.25,310,0.13,0.8,3.468,1.095,2.876,133.6,3.697,84.61,56.61,24.09
21,1,i,3,0,94,93.5,3,0.25,310,0.13,0.846,3.462,1.029,2.694,131.7,3.638,84.61,56.61,24.09
21,1,i,3,0,94,93.5,4,0.25,310,0.13,0.798,3.498,1.053,2.957,131.2,3.711,84.61,56.61,24.09
21,1,i,3,0,94,93.5,5,0.25,310,0.13,0.847,3.535,1.062,2.767,131.5,3.769,84.61,56.61,24.09
21,1,i,3,0,94,93.5,6,0.25,310,0.13,0.856,3.587,1.02,2.691,127,3.754,84.61,56.61,24.09
31,2,b,10,0,93.5,92.5,1,0.5,310,0.07,0.256,1.111,0.129,1.871,78.6,1.272,110.5,61.45,68.08
31,2,b,10,0,93.5,92.5,2,0.5,310,0.07,0.257,1.118,0.105,1.871,75.1,1.299,110.5,61.45,68.08
31,2,b,10,0,93.5,92.5,3,0.5,310,0.07,0.243,1.08,0.16,1.867,71.4,1.242,110.5,61.45,68.08
31,2,b,10,0,93.5,92.5,4,0.5,310,0.07,0.292,1.406,-0.048,2.044,77.9,1.497,110.5,61.45,68.08
31,2,b,10,0,93.5,92.5,5,0.5,310,0.07,0.264,1.073,0.135,1.727,69.8,1.259,110.5,61.45,68.08
31,2,b,10,0,93.5,92.5,6,0.5,310,0.07,0.303,1.566,0.139,2.217,72.1,1.68,110.5,61.45,68.08
31,2,c,12,0,93.5,92.5,1,0.5,310,0.13,1.133,4.764,0.807,2.495,132.5,4.979,171.5,83.49,75.56
31,2,c,12,0,93.5,92.5,2,0.5,310,0.13,1.046,4.727,1.031,3.055,131.5,4.904,171.5,83.49,75.56
31,2,c,12,0,93.5,92.5,3,0.5,310,0.13,1.098,4.783,0.905,2.638,133.8,5.001,171.5,83.49,75.56
31,2,c,12,0,93.5,92.5,4,0.5,310,0.13,1.115,4.828,0.936,2.651,129,4.967,171.5,83.49,75.56
31,2,c,12,0,93.5,92.5,5,0.5,310,0.13,1.121,4.982,1.052,2.84,131.4,5.318,171.5,83.49,75.56
31,2,c,12,0,93.5,92.5,6,0.5,310,0.13,1.118,4.685,0.925,2.622,133.8,4.905,171.5,83.49,75.56
31,2,d,11,0,93.5,92.5,1,0.5,310,0.1,0.501,2.623,0.876,3.121,97.8,2.826,141.5,69.27,67.71
31,2,d,11,0,93.5,92.5,2,0.5,310,0.1,0.521,2.695,0.837,3.007,105.8,2.891,141.5,69.27,67.71
31,2,d,11,0,93.5,92.5,3,0.5,310,0.1,0.538,2.716,0.794,2.954,95.1,2.946,141.5,69.27,67.71
31,2,d,11,0,93.5,92.5,4,0.5,310,0.1,0.52,2.657,0.926,3.088,107.8,2.949,141.5,69.27,67.71
31,2,d,11,0,93.5,92.5,5,0.5,310,0.1,0.511,2.721,0.891,3.171,103.1,2.902,141.5,69.27,67.71
31,2,d,11,0,93.5,92.5,6,0.5,310,0.1,0.514,2.795,0.947,3.197,107.5,2.924,141.5,69.27,67.71
31,2,e,17,0,93.5,92.5,1,0.5,390,0.1,0.567,2.53,0.515,2.249,101.3,2.871,141.9,70.27,65.19
31,2,e,17,0,93.5,92.5,2,0.5,390,0.1,0.596,2.675,0.381,2.221,101.8,2.813,141.9,70.27,65.19
31,2,e,17,0,93.5,92.5,3,0.5,390,0.1,0.544,2.531,0.488,2.366,103.7,2.708,141.9,70.27,65.19
31,2,e,17,0,93.5,92.5,4,0.5,390,0.1,0.55,2.578,0.489,2.36,102.3,2.701,141.9,70.27,65.19
31,2,e,17,0,93.5,92.5,5,0.5,390,0.1,0.532,2.594,0.713,2.628,104.1,2.808,141.9,70.27,65.19
31,2,e,17,0,93.5,92.5,6,0.5,390,0.1,0.532,2.594,0.713,2.628,104.1,2.808,141.9,70.27,65.19
31,2,f,16,0,93.5,92.5,1,0.5,390,0.07,0.37,1.663,0.111,1.944,71.2,1.93,110.1,56.55,61.05
31,2,f,16,0,93.5,92.5,2,0.5,390,0.07,0.342,1.419,0.102,1.834,71.7,1.6,110.1,56.55,61.05
31,2,f,16,0,93.5,92.5,3,0.5,390,0.07,0.371,1.582,0.001,1.831,71,1.736,110.1,56.55,61.05
31,2,f,16,0,93.5,92.5,4,0.5,390,0.07,0.355,1.504,0.075,1.849,70.9,1.614,110.1,56.55,61.05
31,2,f,16,0,93.5,92.5,5,0.5,390,0.07,0.363,1.622,0.02,1.91,71.8,1.735,110.1,56.55,61.05
31,2,f,16,0,93.5,92.5,6,0.5,390,0.07,0.36,1.583,0.008,1.928,70.1,1.765,110.1,56.55,61.05
31,2,g,18,0,93.5,92.5,1,0.5,390,0.13,0.519,2.731,0.645,3.005,103.6,2.899,173.5,82.13,71.8
31,2,g,18,0,93.5,92.5,2,0.5,390,0.13,0.495,2.607,0.671,3.023,88.7,2.701,173.5,82.13,71.8
31,2,g,18,0,93.5,92.5,3,0.5,390,0.13,0.517,2.624,0.764,3.031,118,2.68,173.5,82.13,71.8
31,2,g,18,0,93.5,92.5,4,0.5,390,0.13,0.505,2.629,0.808,3.136,76.9,2.707,173.5,82.13,71.8
31,2,g,18,0,93.5,92.5,5,0.5,390,0.13,0.521,2.71,0.63,2.987,105.1,2.787,173.5,82.13,71.8
31,2,g,18,0,93.5,92.5,6,0.5,390,0.13,0.541,2.761,0.694,2.908,91.7,2.888,173.5,82.13,71.8
31,2,h,14,0,93.5,92.5,1,0.5,350,0.1,0.623,2.671,0.097,1.949,99.1,2.8,144.7,70.44,66.44
31,2,h,14,0,93.5,92.5,2,0.5,350,0.1,0.603,2.638,0.181,1.997,100.4,2.776,144.7,70.44,66.44
31,2,h,14,0,93.5,92.5,3,0.5,350,0.1,0.606,2.604,0.084,1.95,100.6,2.695,144.7,70.44,66.44
31,2,h,14,0,93.5,92.5,4,0.5,350,0.1,0.616,2.638,0.11,1.949,99.1,2.723,144.7,70.44,66.44
31,2,h,14,0,93.5,92.5,5,0.5,350,0.1,0.602,2.623,0.16,1.989,98.1,2.789,144.7,70.44,66.44
31,2,h,14,0,93.5,92.5,6,0.5,350,0.1,0.595,2.65,0.136,1.99,101,2.737,144.7,70.44,66.44
31,2,i,15,0,93.5,92.5,1,0.5,350,0.13,0.52,2.47,0.352,2.351,125.6,2.585,179.8,81.93,75.26
31,2,i,15,0,93.5,92.5,2,0.5,350,0.13,0.524,2.61,0.431,2.488,101.7,2.993,179.8,81.93,75.26
31,2,i,15,0,93.5,92.5,3,0.5,350,0.13,0.505,2.494,0.417,2.452,92.7,2.558,179.8,81.93,75.26
31,2,i,15,0,93.5,92.5,4,0.5,350,0.13,0.569,2.621,0.291,2.224,130.8,2.719,179.8,81.93,75.26
