Position,vc,cat,cont_1,cont_2,Fy
88.75583333,66.64222222,-41.58240728,-15.45084498,-1.36430879,56.55
88.75583333,66.64222222,-41.58240728,-15.44705588,-1.578396152,56.55
88.75583333,66.64222222,-41.58240728,-15.44980239,-1.39884889,56.55
88.75583333,66.64222222,-41.58240728,-15.44659749,-1.425491034,56.55
88.75583333,66.64222222,-41.58240728,-15.44754883,-1.424567859,56.55
90.815,66.64222222,-41.58240728,7.596425,1.445036664,82.13
90.815,66.64222222,-41.58240728,7.584972234,1.524886761,82.13
90.815,66.64222222,-41.58240728,7.599788288,1.729537781,82.13
90.815,66.64222222,-41.58240728,7.579931885,1.971703735,82.13
90.815,66.64222222,-41.58240728,7.595749196,1.388033834,82.13
90.815,66.64222222,-41.58240728,7.591653508,1.407521729,82.13
91.29,107.474697,-41.58240728,-26.93441058,-1.209557322,70.44
91.29,107.474697,-41.58240728,-26.93509266,-0.966160706,70.44
91.29,107.474697,-41.58240728,-26.93612715,-1.235122667,70.44
91.29,107.474697,-41.58240728,-26.93584914,-1.182556006,70.44
91.29,107.474697,-41.58240728,-26.9362284,-1.021265979,70.44
91.29,107.474697,-41.58240728,-26.93542497,-1.069678591,70.44
69.85666929,107.474697,-41.58240728,7.601030128,-0.102656054,81.93
69.85666929,107.474697,-41.58240728,7.595626385,0.258156801,81.93
69.85666929,107.474697,-41.58240728,7.584574557,0.177383529,81.93
69.85666929,107.474697,-41.58240728,7.608248109,-0.411722768,81.93
69.85666929,107.474697,-41.58240728,7.605535099,-0.558678696,81.93
69.85666929,107.474697,-41.58240728,7.601145624,-0.163454,81.93
93.12545665,107.474697,-41.58240728,-15.44691893,-1.530700928,52.78
93.12545665,107.474697,-41.58240728,-15.4492286,-1.096602617,52.78
93.12545665,107.474697,-41.58240728,-15.44706319,-1.1880941,52.78
93.12545665,107.474697,-41.58240728,-15.45206841,-1.906668642,52.78
93.12545665,107.474697,-41.58240728,-15.45973701,-1.421208249,52.78
93.12545665,107.474697,-41.58240728,-15.461633,-0.95736494,52.78
102.8563636,107.474697,-29.25526093,-15.44518406,-0.365669779,62.91
102.8563636,107.474697,-29.25526093,-15.44827161,-0.526241941,62.91
102.8563636,107.474697,-29.25526093,-15.44254876,-0.403184236,62.91
102.8563636,107.474697,-29.25526093,-15.4469897,-0.380798795,62.91
102.8563636,107.474697,-29.25526093,-15.44409641,-0.325180488,62.91
102.8563636,107.474697,-29.25526093,-15.4448087,-0.366080159,62.91
98.42083333,107.474697,-29.25526093,7.715658777,1.119404007,100.7
98.42083333,107.474697,-29.25526093,7.714504583,1.37780138,100.7
98.42083333,107.474697,-29.25526093,7.708925435,1.348287296,100.7
98.42083333,107.474697,-29.25526093,7.716316084,1.185433039,100.7
98.42083333,107.474697,-29.25526093,7.71041165,1.192202511,100.7
98.42083333,107.474697,-29.25526093,7.708782585,1.941650057,100.7
96.35583333,107.474697,-29.25526093,-26.89282948,0.809286337,77.32
