Position,TCond,vc,cat,cont_1,cont_2,Fx
138.3391667,135.5445714,145.8066667,23.59980263,7.784562601,1.681278792,141.5
138.3391667,135.5445714,145.8066667,23.59980263,7.797557474,2.147866022,141.5
138.3391667,135.5445714,145.8066667,23.59980263,7.791133658,2.194355712,141.5
138.3391667,135.5445714,145.8066667,23.59980263,7.79947888,2.3480043,141.5
138.3708333,135.5445714,145.3916667,23.59980263,7.788718343,0.089429927,141.9
138.3708333,135.5445714,145.3916667,23.59980263,7.794469259,-0.229098495,141.9
138.3708333,135.5445714,145.3916667,23.59980263,7.785469769,0.201358802,141.9
138.3708333,135.5445714,145.3916667,23.59980263,7.785300034,0.194820004,141.9
138.3708333,135.5445714,145.3916667,23.59980263,7.788897374,1.044913494,141.9
138.3708333,135.5445714,145.3916667,23.59980263,7.788897374,1.044913494,141.9
129.055,135.5445714,145.3916667,23.59980263,-29.71292224,-1.187658834,110.1
129.055,135.5445714,145.3916667,23.59980263,-29.72950283,-1.36430879,110.1
129.055,135.5445714,145.3916667,23.59980263,-29.71998414,-1.578396152,110.1
129.055,135.5445714,145.3916667,23.59980263,-29.72672335,-1.39884889,110.1
129.055,135.5445714,145.3916667,23.59980263,-29.71875772,-1.425491034,110.1
129.055,135.5445714,145.3916667,23.59980263,-29.72146874,-1.424567859,110.1
138.2291667,135.5445714,145.3916667,23.59980263,31.76941149,1.445036664,173.5
138.2291667,135.5445714,145.3916667,23.59980263,31.73993378,1.524886761,173.5
138.2291667,135.5445714,145.3916667,23.59980263,31.77939158,1.729537781,173.5
138.2291667,135.5445714,145.3916667,23.59980263,31.72657841,1.971703735,173.5
138.2291667,135.5445714,145.3916667,23.59980263,31.76819281,1.388033834,173.5
138.2291667,135.5445714,145.3916667,23.59980263,31.75689262,1.407521729,173.5
136.7941667,135.5445714,132.075,23.59980263,7.793262863,-1.209557322,144.7
136.7941667,135.5445714,132.075,23.59980263,7.791507338,-0.966160706,144.7
136.7941667,135.5445714,132.075,23.59980263,7.789170694,-1.235122667,144.7
136.7941667,135.5445714,132.075,23.59980263,7.78980962,-1.182556006,144.7
136.7941667,135.5445714,132.075,23.59980263,7.788416323,-1.021265979,144.7
136.7941667,135.5445714,132.075,23.59980263,7.790816523,-1.069678591,144.7
160.1583307,135.5445714,132.075,23.59980263,31.78308497,-0.102656054,179.8
160.1583307,135.5445714,132.075,23.59980263,31.76673979,0.258156801,179.8
160.1583307,135.5445714,132.075,23.59980263,31.73957383,0.177383529,179.8
160.1583307,135.5445714,132.075,23.59980263,31.80174768,-0.411722768,179.8
160.1583307,135.5445714,132.075,23.59980263,31.793013,-0.558678696,179.8
160.1583307,135.5445714,132.075,23.59980263,31.78289832,-0.163454,179.8
136.8482111,135.5445714,132.075,23.59980263,-29.71985737,-1.530700928,107.7
136.8482111,135.5445714,132.075,23.59980263,-29.72583063,-1.096602617,107.7
136.8482111,135.5445714,132.075,23.59980263,-29.72037893,-1.1880941,107.7
136.8482111,135.5445714,132.075,23.59980263,-29.73243645,-1.906668642,107.7
136.8482111,135.5445714,132.075,23.59980263,-29.75227166,-1.421208249,107.7
136.8482111,135.5445714,132.075,23.59980263,-29.7575025,-0.95736494,107.7
131.4045455,135.5445714,132.075,155.4674262,-29.71528232,-0.365669779,159.5
131.4045455,135.5445714,132.075,155.4674262,-29.72300126,-0.526241941,159.5
131.4045455,135.5445714,132.075,155.4674262,-29.70888363,-0.403184236,159.5
131.4045455,135.5445714,132.075,155.4674262,-29.71973551,-0.380798795,159.5
131.4045455,135.5445714,132.075,155.4674262,-29.71297303,-0.325180488,159.5
131.4045455,135.5445714,132.075,155.4674262,-29.71452693,-0.366080159,159.5
133.225,135.5445714,132.075,155.4674262,32.07241699,1.119404007,272.2
133.225,135.5445714,132.075,155.4674262,32.06908089,1.37780138,272.2
