Position,TCond,vc,cat,cont_1,cont_2,Fz
92.84181818,82.26885714,85.8669697,-112.8337515,-14.8180999,0.432754859,21.07
92.84181818,82.26885714,85.8669697,-112.8337515,-14.84133046,0.091865884,21.07
92.84181818,82.26885714,85.8669697,-112.8337515,-14.8112957,0.455781354,21.07
92.84181818,82.26885714,85.8669697,-112.8337515,-14.79978484,0.532964581,21.07
92.84181818,82.26885714,85.8669697,-112.8337515,-14.83768198,1.058478281,21.07
92.84181818,82.26885714,85.8669697,-112.8337515,-14.82774952,0.645175816,21.07
88.6525,82.26885714,85.8669697,-112.8337515,10.34620889,0.869314493,25.94
88.6525,82.26885714,85.8669697,-112.8337515,10.33729954,0.824697235,25.94
88.6525,82.26885714,85.8669697,-112.8337515,10.34677048,1.205485177,25.94
88.6525,82.26885714,85.8669697,-112.8337515,10.34351645,1.015168257,25.94
88.6525,82.26885714,85.8669697,-112.8337515,10.3573896,0.754770433,25.94
88.6525,82.26885714,85.8669697,-112.8337515,10.34352075,0.976422423,25.94
91.90333333,82.26885714,85.8669697,-112.8337515,13.35001756,0.714793937,22.31
91.90333333,82.26885714,85.8669697,-112.8337515,13.35880159,0.788207892,22.31
91.90333333,82.26885714,85.8669697,-112.8337515,13.37430297,0.996654266,22.31
91.90333333,82.26885714,85.8669697,-112.8337515,13.35948329,0.563299185,22.31
91.90333333,82.26885714,85.8669697,-112.8337515,13.42083731,0.060710281,22.31
91.90333333,82.26885714,85.8669697,-112.8337515,13.36543336,1.168201156,22.31
79.90916667,82.26885714,90.74166667,-112.8337515,13.38114039,-0.142761763,22.3
79.90916667,82.26885714,90.74166667,-112.8337515,13.38175312,-0.23386871,22.3
79.90916667,82.26885714,90.74166667,-112.8337515,13.39439639,-0.081527834,22.3
79.90916667,82.26885714,90.74166667,-112.8337515,13.39965196,-0.374978341,22.3
79.90916667,82.26885714,90.74166667,-112.8337515,13.40261717,-0.429442559,22.3
79.90916667,82.26885714,90.74166667,-112.8337515,13.39395205,-0.37715802,22.3
90.71833333,82.26885714,90.74166667,-112.8337515,10.26976387,-0.321385612,26.26
90.71833333,82.26885714,90.74166667,-112.8337515,10.25701784,-0.419646806,26.26
90.71833333,82.26885714,90.74166667,-112.8337515,10.29292281,0.073967343,26.26
90.71833333,82.26885714,90.74166667,-112.8337515,10.2687772,-0.338976189,26.26
90.71833333,82.26885714,90.74166667,-112.8337515,10.27742724,-0.113605895,26.26
90.71833333,82.26885714,90.74166667,-112.8337515,10.26529004,-0.2228679,26.26
89.44833333,82.26885714,90.74166667,-112.8337515,-14.86007527,-0.24171522,18.87
89.44833333,82.26885714,90.74166667,-112.8337515,-14.89071614,0.22700072,18.87
89.44833333,82.26885714,90.74166667,-112.8337515,-14.89020597,-0.873951357,18.87
89.44833333,82.26885714,90.74166667,-112.8337515,-14.85198045,2.531372282,18.87
89.44833333,82.26885714,90.74166667,-112.8337515,-14.89034572,-0.894721839,18.87
89.44833333,82.26885714,90.74166667,-112.8337515,-14.88279325,-0.380978262,18.87
83.6675,82.26885714,94.51111111,-112.8337515,13.37094441,-1.309357858,20.51
83.6675,82.26885714,94.51111111,-112.8337515,13.3695472,-1.175607546,20.51
83.6675,82.26885714,94.51111111,-112.8337515,13.34670907,-1.644836281,20.51
83.6675,82.26885714,94.51111111,-112.8337515,13.35446335,-1.534933222,20.51
83.6675,82.26885714,94.51111111,-112.8337515,13.34323947,-1.881309323,20.51
83.6675,82.26885714,94.51111111,-112.8337515,13.35401306,-1.483469203,20.51
82.50666667,82.26885714,94.51111111,-112.8337515,-14.88000427,-0.692990622,19.53
82.50666667,82.26885714,94.51111111,-112.8337515,-14.88359607,-0.929746741,19.53
82.50666667,82.26885714,94.51111111,-112.8337515,-14.83217728,-0.839126985,19.53
82.50666667,82.26885714,94.51111111,-112.8337515,-14.91265119,-0.397078554,19.53
82.50666667,82.26885714,94.51111111,-112.8337515,-14.88698257,-0.661475847,19.53
82.50666667,82.26885714,94.51111111,-112.8337515,-14.89728766,-0.725043557,19.53
106.4383313,82.26885714,94.51111111,-112.8337515,10.15053224,1.8289009,24.09
106.4383313,82.26885714,94.51111111,-112.8337515,10.1462045,2.19445741,24.09
106.4383313,82.26885714,94.51111111,-112.8337515,10.14711395,1.796027206,24.09
106.4383313,82.26885714,94.51111111,-112.8337515,10.14213368,2.223535989,24.09
106.4383313,82.26885714,94.51111111,-112.8337515,10.15619793,1.969394842,24.09
106.4383313,82.26885714,94.51111111,-112.8337515,10.14883184,1.773026076,24.09
88.6525,82.26885714,94.51111111,-14.75919598,-14.89738916,-1.255098232,68.08
88.6525,82.26885714,94.51111111,-14.75919598,-14.90404987,-1.304946815,68.08
88.6525,82.26885714,94.51111111,-14.75919598,-14.91986576,-1.196454361,68.08
88.6525,82.26885714,94.51111111,-14.75919598,-14.86834057,-1.374308658,68.08
88.6525,82.26885714,94.51111111,-14.75919598,-14.91942207,-1.449415816,68.08
88.6525,82.26885714,94.51111111,-14.75919598,-14.86439126,-0.73748225,68.08
91.90333333,82.26885714,94.51111111,-14.75919598,10.32384598,1.049169719,75.56
91.90333333,82.26885714,94.51111111,-14.75919598,10.30037712,2.318566549,75.56
91.90333333,82.26885714,94.51111111,-14.75919598,10.32245198,1.458061857,75.56
91.90333333,82.26885714,94.51111111,-14.75919598,10.31463985,1.541117224,75.56
91.90333333,82.26885714,94.51111111,-14.75919598,10.34466224,2.053450434,75.56
91.90333333,82.26885714,94.51111111,-14.75919598,10.31713291,1.476626817,75.56
79.90916667,82.26885714,94.51111111,-14.75919598,13.339448,2.09140183,67.71
79.90916667,82.26885714,94.51111111,-14.75919598,13.36864865,1.846697264,67.71
79.90916667,82.26885714,94.51111111,-14.75919598,13.34957327,1.681278792,67.71
79.90916667,82.26885714,94.51111111,-14.75919598,13.37408952,2.147866022,67.71
79.90916667,82.26885714,94.51111111,-14.75919598,13.36206867,2.194355712,67.71
79.90916667,82.26885714,94.51111111,-14.75919598,13.37767021,2.3480043,67.71
90.71833333,82.26885714,90.74166667,-14.75919598,13.35756167,0.089429927,65.19
90.71833333,82.26885714,90.74166667,-14.75919598,13.36830686,-0.229098495,65.19
90.71833333,82.26885714,90.74166667,-14.75919598,13.35178196,0.201358802,65.19
90.71833333,82.26885714,90.74166667,-14.75919598,13.35142893,0.194820004,65.19
90.71833333,82.26885714,90.74166667,-14.75919598,13.35804995,1.044913494,65.19
90.71833333,82.26885714,90.74166667,-14.75919598,13.35804995,1.044913494,65.19
89.44833333,82.26885714,90.74166667,-14.75919598,-14.83838545,-1.187658834,61.05
89.44833333,82.26885714,90.74166667,-14.75919598,-14.86878651,-1.36430879,61.05
89.44833333,82.26885714,90.74166667,-14.75919598,-14.85129165,-1.578396152,61.05
89.44833333,82.26885714,90.74166667,-14.75919598,-14.86367062,-1.39884889,61.05
89.44833333,82.26885714,90.74166667,-14.75919598,-14.84898947,-1.425491034,61.05
89.44833333,82.26885714,90.74166667,-14.75919598,-14.85410508,-1.424567859,61.05
83.6675,82.26885714,90.74166667,-14.75919598,9.95182014,1.445036664,71.8
83.6675,82.26885714,90.74166667,-14.75919598,9.896856611,1.524886761,71.8
83.6675,82.26885714,90.74166667,-14.75919598,9.971028881,1.729537781,71.8
83.6675,82.26885714,90.74166667,-14.75919598,9.87169143,1.971703735,71.8
83.6675,82.26885714,90.74166667,-14.75919598,9.949724097,1.388033834,71.8
